State,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74,R75,R76,R77,R78,R79,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R90,R91,R92,R93,R94,R95,R96,R97,R98,R99,R100,R101,R102,R103,R104,R105,R106,R107,R108,R109,R110,R111,R112,R113,R114,R115,R116,R117
Andhra Pradesh,357,250,39,0,1158,248,0,217,37,0,56,16,0,201,38,0,2646,464,0,92,20,0,257,91,0,75,16,0,98,14,0,81,15,0,471,85,0,1407,205,0,46,4586,219,188,368,231,78,6,124,117,41,467,213,1270,138,4333,2392,1183,7255,653,3575,113,82,171,25,14,9,15,0,80,3824,4691,1660,1557,6217,1461,76,54,100,20973,1254,2661,490,12678,784,1860,864,206,206,369,240,721,2658,2548,3448,3491,3606,4058,2989,2031,2269,1320,467,16457.73,0.08,0.03,2021,1991,1973,2075,2048,1924,1694,2077,1770,1875,1719,1987
Arunachal Pradesh,24,1,1,0,22,5,0,10,0,0,0,0,0,1,0,0,79,9,0,5,1,0,1,0,0,2,0,0,3,0,0,0,0,0,2,0,0,27,8,0,14,30,10,8,9,8,0,0,2,12,9,15,13,3,13,43,37,39,61,58,11,21,17,17,6,5,3,2,14,5,18,43,37,39,29,0,35,27,28,93,85,71,22,26,22,15,10,17,7,7,12,14,15,43,30,28,20,16,23,19,26,1,0,79,0.01,0,28,10,10,21,9,12,13,14,14,15,22,17
Assam,98,201,24,0,422,59,0,153,19,0,8,2,0,67,3,0,16,1,0,148,18,0,600,82,0,169,27,0,70,11,0,201,21,0,34,6,0,20,2,0,0,1318,150,100,104,64,5,0,3,44,12,51,13,658,0,1631,548,343,2164,358,2039,119,3,37,11,14,1,5,1,20,272,2382,121,19,2378,80,43,20,1,7435,0,0,611,3944,535,268,140,51,45,19,117,645,702,1034,1633,1092,1456,979,416,308,226,50,5,288.8,0.17,0.02,658,615,689,612,566,531,573,528,460,670,638,604
Bihar,197,244,47,0,526,89,0,209,41,0,21,6,0,46,9,0,1211,257,0,208,49,0,470,67,0,162,36,0,86,32,0,96,22,0,152,49,0,1157,208,0,310,1218,881,203,344,328,122,44,17,174,146,484,413,539,188,3184,1148,581,3482,1431,2018,579,248,367,221,200,53,180,37,352,658,2957,1113,843,3132,685,400,267,429,6559,1160,503,1457,2367,478,713,471,379,351,309,264,939,1009,1433,1661,1484,1485,1092,823,677,901,1,0,62.58,0.02,0,777,742,852,714,985,1002,757,662,685,720,829,806
Chhattisgarh,293,77,21,0,415,62,0,131,26,0,20,5,0,52,7,0,1384,170,0,84,21,0,229,35,0,118,16,0,80,14,0,86,8,0,30,17,0,850,122,2,73,1354,149,216,478,194,41,25,43,68,72,360,232,790,109,2111,1301,610,2966,1056,2462,411,40,114,22,49,7,23,7,45,842,2974,679,369,3049,501,161,96,215,10485,1507,1588,227,6501,552,605,352,234,176,256,184,537,1126,1677,2316,2064,2550,2256,1394,755,809,-1,-1,-1,-1,-1,1167,1110,1000,1020,1149,1051,934,877,910,1005,973,944
Goa,5,12,2,0,31,4,0,12,2,0,2,0,0,13,0,0,120,21,0,2,0,0,9,3,0,2,0,0,3,0,0,3,0,0,5,0,0,57,11,0,0,257,0,6,19,8,0,0,0,0,0,0,0,0,0,267,17,6,263,27,259,21,2,0,0,4,0,1,0,0,3,215,54,21,287,3,0,0,0,4263,1,40,6,3060,71,54,32,35,19,31,11,15,22,381,681,711,818,803,485,214,136,75,8,307.25,0.24,0.03,433,359,349,349,367,354,322,324,285,312,354,422
Gujarat,180,181,36,0,1665,325,0,227,42,0,95,20,0,415,92,0,2771,398,0,129,31,0,607,123,0,87,18,0,59,11,0,259,28,0,95,23,0,435,73,0,47,4876,176,387,564,276,30,17,42,120,158,449,325,535,27,5546,2067,342,5861,2094,4965,1562,134,95,48,43,37,31,60,68,912,5549,1981,425,6043,1650,102,78,82,18026,3042,791,361,13812,843,1709,1083,735,371,417,363,830,1604,2707,3732,3547,3911,3987,2643,1471,1714,1077,174,11089.46,0.88,0.05,2023,1978,2039,1846,2127,1988,1673,1633,1506,1817,1678,1844
Haryana,189,147,25,0,807,77,0,108,20,0,44,4,0,117,18,0,1885,143,0,64,18,0,211,46,0,62,19,0,67,11,0,132,24,0,293,26,0,585,92,0,107,2043,263,160,191,143,136,135,0,135,176,196,240,665,107,3271,462,750,3620,863,3403,305,0,0,0,0,0,0,0,0,775,3975,508,0,4483,0,0,0,0,5686,3530,2018,1092,4148,647,556,371,210,205,210,247,641,1396,1199,1414,1458,1687,1690,1324,948,956,259,125,4669.02,0.06,0.03,892,881,963,911,939,906,955,916,871,891,962,956
Himachal Pradesh,0,48,3,0,185,17,0,13,4,0,2,1,0,20,6,0,519,57,0,30,9,0,37,6,0,9,0,0,2,0,0,5,0,0,6,0,0,92,25,0,3,736,45,96,54,27,0,0,15,0,0,56,54,116,29,259,759,181,1052,147,697,367,31,25,0,18,4,13,0,0,44,707,215,277,917,178,57,27,20,-1,-1,-1,50,2670,129,58,10,7,23,82,8,77,805,285,465,526,675,585,269,128,125,98,81,1745.2,0.06,0.05,246,191,260,234,289,295,292,329,272,302,313,302
Jammu & Kashmir,87,13,1,0,145,47,0,18,3,0,0,0,0,13,3,0,375,61,0,5,3,0,33,6,0,4,0,0,7,0,0,7,0,0,4,3,0,147,25,0,3,816,7,26,21,32,0,0,27,0,0,0,0,63,12,366,452,174,781,211,356,289,15,10,3,142,20,71,69,17,0,495,145,352,254,296,166,97,179,3544,1369,588,375,2849,189,45,5,0,2,332,4,263,152,477,1098,1328,1162,878,401,281,236,27,4,178.99,0.15,0.02,414,415,424,433,506,594,563,515,415,544,517,438
Jharkhand,243,237,26,0,715,129,0,131,10,0,39,9,0,159,18,0,55,2,0,202,22,0,449,56,0,78,11,0,102,14,0,82,9,0,270,22,0,45,1,0,14,751,199,218,235,252,8,28,0,54,92,180,183,428,62,1565,449,614,2364,264,577,133,26,133,60,57,0,28,6,171,1437,2282,188,158,1962,129,118,281,138,3002,1768,162,1518,1576,403,176,85,73,87,55,109,465,1175,789,988,713,892,699,370,236,514,-1,-1,-1,-1,-1,399,434,418,425,454,414,391,384,341,419,373,453
Karnataka,1400,249,49,0,525,79,0,269,40,0,86,15,0,272,28,0,4393,604,0,225,60,0,478,92,0,161,34,0,145,29,0,229,42,1,365,103,0,1890,394,0,160,6533,245,392,639,464,1,2,42,53,46,418,303,1314,160,8354,743,1355,9096,1356,7614,116,76,113,45,58,46,104,34,227,2019,7575,2030,847,8149,815,391,677,420,39436,2084,2883,298,22337,908,1349,838,403,438,905,473,1006,4132,4492,6522,6665,7181,7740,5050,3042,3021,2580,608,24871.5,0.39,0.1,3915,3649,3805,3577,4053,3772,3421,3428,3254,3517,3442,3861
Kerala,4,130,38,0,447,95,0,76,15,0,41,7,0,74,12,0,1054,195,0,73,14,0,393,121,0,62,12,0,58,12,0,69,12,0,88,25,0,898,175,0,0,3257,28,90,388,286,0,0,0,0,0,0,0,0,0,3794,247,8,2981,1068,3281,444,49,30,14,193,0,4,14,8,12,2917,910,222,3484,383,161,21,0,39072,76,272,49,21191,734,1950,476,191,175,218,237,39,29,3484,6979,5922,8253,7171,2919,617,937,1077,159,5537,0.19,0.03,3332,2909,3005,2785,3162,2805,2834,2913,2911,2911,2963,3342
Madhya Pradesh,1194,243,115,0,2241,369,0,127,37,0,62,14,0,109,14,0,1935,276,0,271,38,0,1447,284,1,145,39,0,83,21,0,172,36,0,290,59,0,1141,189,0,102,6262,215,342,337,266,0,25,0,20,88,217,133,664,378,6755,982,832,7499,1070,5310,920,360,340,135,128,23,21,10,140,1182,6755,1382,432,6250,1254,474,415,176,44822,6068,3082,2665,20311,985,3397,1051,389,297,205,214,537,1494,6127,10708,9797,9108,7848,4770,2484,2630,-1,-1,-1,-1,-1,3375,3154,3470,3345,4107,3637,3104,2951,2946,3261,3288,3060
Maharashtra,1298,201,33,0,1207,205,0,281,40,0,23,1,0,259,33,0,5968,781,0,214,50,0,945,215,0,159,27,0,109,19,0,210,29,0,330,66,0,1940,339,1,49,11099,79,161,303,77,4,0,0,5,101,132,88,754,113,10188,1889,726,11600,1203,10438,415,124,224,194,178,0,114,84,110,922,11073,1201,529,10817,1204,555,134,93,36905,1342,1631,1345,37196,2926,2312,1289,429,378,434,339,2572,2124,5199,9247,9926,10551,10656,7446,4762,3840,3973,460,24834.24,2.89,0.08,3978,3714,3920,3847,4258,3784,3546,3450,3298,3291,3478,3818
Manipur,88,10,3,0,60,7,0,0,0,0,0,0,0,7,0,0,11,0,0,2,0,0,13,0,0,2,0,0,0,0,0,1,0,0,10,1,0,2,0,0,15,72,6,5,13,19,4,2,1,6,2,14,6,18,13,54,61,53,97,71,49,58,0,10,0,4,0,5,2,7,33,94,43,31,91,39,10,4,24,414,53,71,0,0,6,11,4,6,2,4,2,45,88,38,153,149,161,164,58,12,8,-1,-1,-1,-1,-1,61,59,66,59,62,49,49,53,73,72,59,73
Meghalaya,10,10,0,0,47,9,0,2,0,0,0,0,0,10,0,0,58,14,0,1,0,0,14,3,0,0,0,0,0,0,0,7,2,0,0,0,0,26,2,0,2,7,12,19,8,41,10,0,9,4,0,0,3,28,7,141,0,0,141,0,141,0,0,0,0,0,0,0,0,0,0,141,0,0,141,0,0,0,0,375,154,91,137,144,12,7,11,9,17,35,9,18,23,23,24,43,97,76,115,81,83,0,0,22.58,0,0,30,27,20,25,27,28,29,24,26,22,19,24
Mizoram,0,1,0,0,14,1,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,76,10,0,17,0,0,0,0,0,0,0,0,0,0,14,87,2,81,22,100,3,0,0,0,0,0,0,0,0,0,21,74,8,16,83,4,0,0,73,0,10,15,11,1,8,5,1,0,1,1,22,64,9,10,17,35,29,18,4,10,0,0,10.02,0,0,10,6,15,10,11,4,10,5,6,3,7,8
Nagaland,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,1,0,1,63,0,0,0,0,0,0,0,0,0,0,0,18,2,61,0,20,81,0,81,0,0,0,0,0,0,0,0,0,0,81,0,0,81,0,0,0,0,75,0,0,2,4,0,12,0,0,0,0,0,43,26,33,82,79,88,18,5,0,0,0,0,60.1,0,0,3,2,2,4,2,0,1,3,0,4,0,7
Odisha,345,115,29,0,297,48,0,72,16,0,65,10,0,121,19,0,1342,171,0,85,14,0,178,33,0,30,13,0,48,12,0,102,15,0,82,14,0,1249,123,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,972,4103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,7,313.02,0.1,0.02,896,826,851,726,852,828,756,693,660,776,854,922
